id,date,type,content,media_file
701773,2025-02-07T09:16:49+00:00,text,Ok,
701772,2025-02-07T09:16:33+00:00,text,Did everyone claimed his airdrop?,
701766,2025-02-07T09:14:23+00:00,text,"⚡**Spamming** **=** **Disqualification! Don’t spam multiple messages** ⚡

Let’s keep the chat buzzing with good vibes! 🐜💬 Remember, **spamming = disqualification** from the chat event, and **no rewards** for you! 🚫💥

Stay active, stay engaged, and let’s make this event legendary! 🎉💪

Keep the fun rolling, but keep it clean! ✨",
701744,2025-02-07T09:10:07+00:00,text,I hope u fail,
701743,2025-02-07T09:10:02+00:00,text,"Bro, try reading Maria no danzai",
701735,2025-02-07T09:09:15+00:00,media,[OTHER MEDIA],
701731,2025-02-07T09:08:58+00:00,text,"If you can’t connect your wallet, try these steps:

🔄 **Refresh the page**
🖥️ **Use a desktop device** for a smoother experience
🧹 **Clear your cache** to remove any old data
🔔 **Enable wallet linking popups** so your wallet can connect properly

If issues persist, stay patient raise a support ticket on discord.",
701723,2025-02-07T09:08:26+00:00,text,Anyone had this problem?,
701721,2025-02-07T09:08:15+00:00,text,"I can't conect my wallet is saying "" e it's not a function""",
701716,2025-02-07T09:07:56+00:00,text,"📜 **SuperEx Chat Event Rules** 📜

To ensure a fun and respectful environment, here are the rules for banning during our events:
 1. **Spamming** 🚫: Repeated messages, excessive use of stickers, or irrelevant content will lead to removal from the event.
 2. **Offensive Behavior** 💢: Any form of hate speech, personal attacks, or inappropriate language will result in an immediate ban.
 3. **Disrespecting Moderators** 🚨: Disrespect towards the team or other participants is not tolerated.
 4. **Flooding the Chat** 🌊: Sending multiple identical or unrelated messages in a short period will lead to disqualification.
 5. **Sharing Malicious Links** 🔗: Any attempt to promote phishing or harmful content will result in an instant ban.
 6. **Impersonation** 🎭: Pretending to be someone else, including project team members, is strictly prohibited.

**Please be respectful and help keep the chat fun and engaging for everyone!** 🌟

**Stay Positive, ANTS! **🐜",
701683,2025-02-07T09:03:56+00:00,text,Possible,
701681,2025-02-07T09:03:42+00:00,text,👀,
701663,2025-02-07T09:00:15+00:00,text,Good for you,
701652,2025-02-07T08:58:55+00:00,text,"If you can’t connect your wallet, try these steps:

🔄 **Refresh the page**
🖥️ **Use a desktop device** for a smoother experience
🧹 **Clear your cache** to remove any old data
🔔 **Enable wallet linking popups** so your wallet can connect properly

If issues persist, stay patient raise a support ticket on discord.",
701650,2025-02-07T08:58:30+00:00,text,Guys i can't conect my wallet to SuperEx to claim my aidrop,
701648,2025-02-07T08:57:59+00:00,sticker,[STICKER] BAADBQADKhEAAsSGCFV3Rmrg1A5v1AI,
701646,2025-02-07T08:57:39+00:00,text,Keep supporting guys,
701633,2025-02-07T08:53:44+00:00,text,Below 1$ i think sir,
701625,2025-02-07T08:52:21+00:00,text,opps ok ok 🆗 carry on,
701623,2025-02-07T08:52:02+00:00,sticker,[STICKER] CAADBAADTQ0AAoHiUFHmAqygEA-P-QI,
701622,2025-02-07T08:51:56+00:00,text,done have you received?,
701620,2025-02-07T08:51:42+00:00,text,which language are you guys using?,
701616,2025-02-07T08:51:10+00:00,text,full support👀💪,
701614,2025-02-07T08:51:02+00:00,text,hello SuperEx fam,
701610,2025-02-07T08:50:17+00:00,text,Keep support and lift 🚀,
701605,2025-02-07T08:49:10+00:00,sticker,[STICKER] BAADBAADNSYAAnIsAVNuYC_flEh7qgI,
701602,2025-02-07T08:48:48+00:00,text,How are you doing all,
701601,2025-02-07T08:48:43+00:00,text,Hello all guyss,
701597,2025-02-07T08:48:09+00:00,text,SuperEx to the moon 🌝,
701596,2025-02-07T08:48:06+00:00,text,Keep supporting 💪,
701581,2025-02-07T08:44:46+00:00,sticker,[STICKER] BAADBAADFBUAAtRbAVP-tiQ9ebBenQI,
701575,2025-02-07T08:43:09+00:00,text,Not,
701570,2025-02-07T08:42:24+00:00,text,Yeah all are working hard for it,
701569,2025-02-07T08:42:18+00:00,text,"Don't start a fuss.. I asked why you said that? 
This is a discussion room bro lol once you",
701568,2025-02-07T08:42:05+00:00,text,It will be done soon,
701567,2025-02-07T08:42:01+00:00,text,"Yes,",
701565,2025-02-07T08:41:51+00:00,text,Tge is cooking 😉🐜,
701562,2025-02-07T08:41:13+00:00,sticker,[STICKER] BAADBQADUxMAAh3ICFc6ZEF_wIvKkgI,
701561,2025-02-07T08:41:11+00:00,media,[OTHER MEDIA],
701559,2025-02-07T08:41:04+00:00,text,lol,
701558,2025-02-07T08:40:57+00:00,sticker,[STICKER] BAADBQADuAUAAtVu2VVTgcx43BEN_QI,
701557,2025-02-07T08:40:56+00:00,text,When Listing,
701555,2025-02-07T08:40:52+00:00,text,Soon,
701554,2025-02-07T08:40:47+00:00,media,[OTHER MEDIA],
701552,2025-02-07T08:40:40+00:00,text,Q5,
701550,2025-02-07T08:40:35+00:00,text,Is this true? Source,
701549,2025-02-07T08:40:30+00:00,text,When tge sir?,
701546,2025-02-07T08:40:17+00:00,sticker,[STICKER] BAADBQAD4BUAAuXACFeCKFalvLNJbwI,
701545,2025-02-07T08:40:09+00:00,text,Wait for tge guys,
701544,2025-02-07T08:40:02+00:00,text,Is the best project,
701543,2025-02-07T08:40:01+00:00,text,Yeah that's right buddy same here,
701541,2025-02-07T08:39:48+00:00,text,How much 1 token SuperEx guys,
701540,2025-02-07T08:39:43+00:00,text,So good to be here,
701538,2025-02-07T08:39:23+00:00,text,SuperEx is the best 🐜😍,
701536,2025-02-07T08:39:13+00:00,text,"Why hasn't the tokenomic been announced yet but the airdrop reward has? 
Not transparent in my opinion",
701535,2025-02-07T08:39:08+00:00,text,Yes exactly buddy,
701532,2025-02-07T08:38:47+00:00,text,Team is rewarding community for their support,
701528,2025-02-07T08:38:21+00:00,text,Now 2:38 P.M,
701527,2025-02-07T08:38:17+00:00,text,Great event,
701526,2025-02-07T08:38:08+00:00,sticker,[STICKER] BAADBQADrxEAAgsIEVU3AuwYfGNG0QI,
701525,2025-02-07T08:38:05+00:00,media,[OTHER MEDIA],
701520,2025-02-07T08:37:47+00:00,sticker,[STICKER] BAADBAADrBYAAqrekVP3UsHhCWYX6QI,
701519,2025-02-07T08:37:45+00:00,text,How are y’all doing,
701518,2025-02-07T08:37:41+00:00,text,Good Morning Guys,
701515,2025-02-07T08:37:19+00:00,text,"🌟 **Friendly Reminder!** 🌟

Let’s keep the chat fun and inclusive by **chatting in English**! 🌐 If you prefer another language, feel free to use a translator! 🤖🔄 This way, everyone can join the conversation and stay connected! 🙌💬 Thanks for helping us keep the vibe positive and friendly! 💙",
701514,2025-02-07T08:37:14+00:00,sticker,[STICKER] BAADBAADkiUAAnAjAAFT_UtPpMLgN08C,
701505,2025-02-07T08:35:55+00:00,text,"Chacha,
bari ghor eto sajano keno
Hena kothay?",
701502,2025-02-07T08:35:19+00:00,text,The exact allocation details haven’t been fully disclosed yet. Stay tuned for official announcements! 🚀,
701495,2025-02-07T08:33:57+00:00,text,"How much is the airdrop reward from the total supply of 10B, sir? Is it only 5%?",
701488,2025-02-07T08:29:34+00:00,sticker,[STICKER] BAADBQADVAcAAqoOoVbmaXvjdH4z1QI,
701487,2025-02-07T08:29:12+00:00,text,When claim,
701486,2025-02-07T08:25:27+00:00,text,Oh okay !Thanks for the help ☺❤,
701485,2025-02-07T08:24:54+00:00,media,[OTHER MEDIA],
701484,2025-02-07T08:23:41+00:00,text,Ohh okay Thank you ❤ also is there another announcement group for SuperEx or will it be announced on SuperEx channel ?,
701483,2025-02-07T08:22:44+00:00,text,There would be airdrop for SuperEx but you need to wait on SuperEx Platform.,
701482,2025-02-07T08:22:33+00:00,text,Me too bro. But people who expect the price to be 6-10$ is impossible bro... 1$ is possible,
701481,2025-02-07T08:21:23+00:00,text,So no airdrop for SuperEx users now am i right ?,
701480,2025-02-07T08:21:13+00:00,text,"But market cap is the benchmark for prices in crypto, sir.",
701479,2025-02-07T08:21:11+00:00,text,Am support SuperEx,
701478,2025-02-07T08:21:05+00:00,text,Absolutely right,
701477,2025-02-07T08:20:39+00:00,text,"No, SuperEx airdrop and SuperEx are different. 🚀 SuperEx is the native token, while SuperEx is a separate product launching soon. Stay tuned for more details! 🔥",
701476,2025-02-07T08:20:00+00:00,text,Hey is SuperEx drop and SuperEx same ?,
