id,date,type,content,media_file
843070,2025-02-16T18:02:15+00:00,sticker,[STICKER] BAADBAADvQwAAtajQFJBLhqegNiEzQI,media/sticker_843070.webp
843067,2025-02-16T18:01:52+00:00,text,"Good day anyone seeing this, please I have a contest where I have to invite 5 people to join a discord server to qualify for a giveaway, please all you just need to do is join the discord server through my link 🙏🏻",
843066,2025-02-16T18:01:00+00:00,text,"Respect each other, and let’s keep the vibe positive💖",
843065,2025-02-16T18:00:51+00:00,text,😊👍,
843064,2025-02-16T18:00:30+00:00,text,Noted mate,
843063,2025-02-16T18:00:04+00:00,sticker,[STICKER] BAADBQADUxMAAh3ICFc6ZEF_wIvKkgI,media/sticker_843063.webp
843062,2025-02-16T17:59:35+00:00,text,"remember to be respectful. Abusive language, spamming, and disruptive behavior aren't allowed ❌ 
Let’s keep the vibe positive, friendly, and supportive for everyone!✨",
843061,2025-02-16T17:57:05+00:00,text,Yeah earlier verry crowded,
843059,2025-02-16T17:55:27+00:00,text,Wow 13k,
843058,2025-02-16T17:54:20+00:00,text,"⚡Spamming = Disqualification! Keep the Chat Fun! ⚡

Let’s keep the chat buzzing with good vibes! 🐜💬 Remember, spamming = disqualification from the chat event, and no rewards for you! 🚫💥

Stay active, stay engaged, and let’s make this event legendary! 🎉💪

Keep the fun rolling, but keep it clean! ✨",
843057,2025-02-16T17:54:04+00:00,text,Let’s continue with your amazing support,
843056,2025-02-16T17:52:14+00:00,sticker,[STICKER] BAADBQADrxEAAgsIEVU3AuwYfGNG0QI,media/sticker_843056.webp
843055,2025-02-16T17:50:20+00:00,text,Hello guys,
843054,2025-02-16T17:48:44+00:00,sticker,[STICKER] CAADAgADawMAAm2wQgMBxrMf3Ej7GgI,media/sticker_843054.webp
843053,2025-02-16T17:48:42+00:00,text,Wui,
843052,2025-02-16T17:47:51+00:00,text,Don't spamming sticker,
843051,2025-02-16T17:47:36+00:00,text,Lol,
843050,2025-02-16T17:47:33+00:00,text,Let's guu,
843049,2025-02-16T17:47:30+00:00,text,Sticker war ??,
843048,2025-02-16T17:47:03+00:00,sticker,[STICKER] BAADBQADgAsAAvSJaFXKpDh5GrB6fgI,media/sticker_843048.webp
843047,2025-02-16T17:45:44+00:00,sticker,[STICKER] CAADBAADWxQAAr6buVA7NgTDruxu_wI,media/sticker_843047.webp
843046,2025-02-16T17:45:08+00:00,sticker,[STICKER] BAADBAADQBgAAvSfEVFkw5_hIiMbNgI,media/sticker_843046.webp
843045,2025-02-16T17:45:04+00:00,sticker,[STICKER] BAADBQADhRAAAtLlEFVjm-H0SPxIbgI,media/sticker_843045.webp
843044,2025-02-16T17:44:58+00:00,sticker,[STICKER] BAADBAADvBYAAi9uCFHeoosTQp6rhQI,media/sticker_843044.webp
843043,2025-02-16T17:44:54+00:00,sticker,[STICKER] BAADBQADKhEAAsSGCFV3Rmrg1A5v1AI,media/sticker_843043.webp
843042,2025-02-16T17:44:51+00:00,sticker,[STICKER] BAADBQADKhEAAsSGCFV3Rmrg1A5v1AI,media/sticker_843042.webp
843041,2025-02-16T17:44:40+00:00,sticker,[STICKER] BAADBQADxQ0AAiqEaFXWerMxjpnTRgI,media/sticker_843041.webp
843040,2025-02-16T17:44:35+00:00,sticker,[STICKER] BAADBQADUxMAAh3ICFc6ZEF_wIvKkgI,media/sticker_843040.webp
843039,2025-02-16T17:44:01+00:00,sticker,[STICKER] BAADBQADKwYAAgWD6FWoDvK_4YMH5gI,media/sticker_843039.webp
843038,2025-02-16T17:42:48+00:00,sticker,[STICKER] BAADBAADAxcAAobNCFPA-gIfuyRN2wI,media/sticker_843038.webp
843037,2025-02-16T17:42:38+00:00,sticker,[STICKER] BAADBQADlwwAApqTaVULaSP041qNqQI,media/sticker_843037.webp
843036,2025-02-16T17:42:13+00:00,sticker,[STICKER] BAADBAADNSYAAnIsAVNuYC_flEh7qgI,media/sticker_843036.webp
843035,2025-02-16T17:41:46+00:00,text,1$ sir,
843034,2025-02-16T17:41:44+00:00,text,No doubt,
843033,2025-02-16T17:41:32+00:00,sticker,[STICKER] CAADBQADQxYAArqTkFWUDOCF1yUL-wI,media/sticker_843033.webp
843032,2025-02-16T17:41:17+00:00,sticker,[STICKER] BAADBAADNSYAAnIsAVNuYC_flEh7qgI,media/sticker_843032.webp
843031,2025-02-16T17:41:11+00:00,text,Past is beautiful,
843030,2025-02-16T17:41:05+00:00,text,It’s not fixed anywhere. Listing soon keep focus on announced channel,
843029,2025-02-16T17:40:29+00:00,text,Whatever you think is best😊,
843028,2025-02-16T17:40:26+00:00,text,Lol Hopper M token price high 0.1 cent,
843027,2025-02-16T17:40:25+00:00,text,Arey,
843026,2025-02-16T17:40:19+00:00,text,Chupp,
843025,2025-02-16T17:39:32+00:00,text,If you're here to follow Hopper you'll understand but if you're here just for the $10 you probably won't know👌,
843024,2025-02-16T17:38:57+00:00,sticker,[STICKER] BAADBAADexUAAkejCVNXPSJ4GPFRjQI,media/sticker_843024.webp
843023,2025-02-16T17:38:00+00:00,text,So why Xyz?,
843022,2025-02-16T17:37:58+00:00,text,"You didn't join the Hopper airdrop, huh?",
843021,2025-02-16T17:37:47+00:00,text,To be announced,
843020,2025-02-16T17:37:15+00:00,text,Wow you don't know about Hopper,
843019,2025-02-16T17:37:13+00:00,text,Me too 🤣,
843018,2025-02-16T17:37:05+00:00,text,Keep support all project,
843017,2025-02-16T17:37:03+00:00,sticker,[STICKER] BAADBAADvQwAAtajQFJBLhqegNiEzQI,media/sticker_843017.webp
843016,2025-02-16T17:36:51+00:00,text,What’s that buddy?,
843015,2025-02-16T17:36:44+00:00,text,Hello,
843014,2025-02-16T17:36:39+00:00,text,"Why was it only given a short time in the past, when the token launch took so long?",
843013,2025-02-16T17:36:30+00:00,text,You join Hopperxyz,
843012,2025-02-16T17:35:26+00:00,text,Hopper officially launch soon,
843011,2025-02-16T17:35:16+00:00,text,To be announced,
843010,2025-02-16T17:34:25+00:00,text,When listing,
843009,2025-02-16T17:32:49+00:00,text,When Hopper checker?,
843008,2025-02-16T17:27:59+00:00,sticker,[STICKER] CAADBQADGxQAAgGU6VTFlRo8DyxW0QI,media/sticker_843008.webp
843007,2025-02-16T17:27:52+00:00,text,Kyy,
843006,2025-02-16T17:26:34+00:00,text,Am ready 😋,
843005,2025-02-16T17:25:30+00:00,text,Niceeee my fav one 😁,
843004,2025-02-16T17:24:58+00:00,text,She can't be invited .. but she can be treated 😄,
843003,2025-02-16T17:23:46+00:00,text,Good 😁,
843002,2025-02-16T17:23:34+00:00,text,Keep supporting 💪,
843000,2025-02-16T17:23:12+00:00,text,Tomorrow isn't the b'day.. b'day wa 12th Feb.. tomorrow will be the celebration 🎉🥳,
842999,2025-02-16T17:23:03+00:00,text,Y,
842998,2025-02-16T17:22:57+00:00,text,Keep supporting the Hopper community 💕,
842997,2025-02-16T17:22:51+00:00,text,Meme core price,
842996,2025-02-16T17:22:50+00:00,sticker,[STICKER] BAADBQADKhEAAsSGCFV3Rmrg1A5v1AI,media/sticker_842996.webp
842995,2025-02-16T17:22:32+00:00,text,Idk mate,
842994,2025-02-16T17:22:17+00:00,text,Hi where is mas muth,
842993,2025-02-16T17:22:15+00:00,text,Nice,
842992,2025-02-16T17:21:37+00:00,text,Good,
842991,2025-02-16T17:21:34+00:00,text,Spammers are ready,
842990,2025-02-16T17:21:25+00:00,text,Don't chat more go 💤,
842989,2025-02-16T17:21:24+00:00,text,How are you all friends,
842987,2025-02-16T17:21:06+00:00,text,Hello sir,
842985,2025-02-16T17:20:53+00:00,text,Good job,
842984,2025-02-16T17:20:46+00:00,text,Hii,
842983,2025-02-16T17:20:37+00:00,text,Okh 🌝,
842982,2025-02-16T17:20:23+00:00,text,Hello 👋,
842979,2025-02-16T17:19:54+00:00,text,Active ranking,
842978,2025-02-16T17:18:16+00:00,sticker,[STICKER] BAADBAADNSYAAnIsAVNuYC_flEh7qgI,media/sticker_842978.webp
842977,2025-02-16T17:18:04+00:00,text,Sed talk allowed?,
