id,date,type,content,media_file
900200,2025-05-26T18:45:40+00:00,text,/btc,
900199,2025-05-26T18:45:35+00:00,text,这真是一点精华,
900198,2025-05-26T18:45:30+00:00,text,学到了,
900197,2025-05-26T18:45:25+00:00,text,教训的是,
900196,2025-05-26T18:45:20+00:00,text,还差得远,
900195,2025-05-26T18:45:15+00:00,text,被欲望束缚，不行,
900194,2025-05-26T18:45:10+00:00,text,/btc,
900193,2025-05-26T18:45:05+00:00,text,如果位了装逼，那还是不是真正的自由,
900192,2025-05-26T18:45:00+00:00,text,炒币是为了真正的自由,
900191,2025-05-26T18:44:55+00:00,text,没前途,
900190,2025-05-26T18:44:50+00:00,text,也就偏偏年轻小姑娘，没前途,
900189,2025-05-26T18:44:45+00:00,text,/btc,
900188,2025-05-26T18:44:40+00:00,text,但是在美国起不到装逼的效果,
900187,2025-05-26T18:44:35+00:00,text,据说这个二手车去美国更便宜,
900186,2025-05-26T18:44:30+00:00,text,几十万而是，也不贵，还是人民币。,
900185,2025-05-26T18:44:25+00:00,text,满足一下小时候的愿望,
900184,2025-05-26T18:44:20+00:00,text,十年前的老车，但是装逼足够了,
900183,2025-05-26T18:44:15+00:00,text,/btc,
900182,2025-05-26T18:44:10+00:00,text,等着把行情启动赚了钱，一定要买个二手480,
900181,2025-05-26T18:44:05+00:00,text,略略略不知道,
900180,2025-05-26T18:44:00+00:00,text,胡知道,
900179,2025-05-26T18:43:55+00:00,text,确实，亏麻了,
900178,2025-05-26T18:43:50+00:00,text,最近都不去会所了，看样子都亏麻了,
900177,2025-05-26T18:43:45+00:00,text,我们年轻人，就是有活力,
900176,2025-05-26T18:43:40+00:00,text,富哥能发个红包吗，好久没吃到热乎饭了,
900175,2025-05-26T18:43:35+00:00,text,谢谢富哥,
900174,2025-05-26T18:43:30+00:00,text,太骚了，能过审的话，我先梭100万刀,
900173,2025-05-26T18:43:25+00:00,text,66666,
900172,2025-05-26T18:43:20+00:00,text,语言大师,
900171,2025-05-26T18:43:15+00:00,text,语言大师,
900170,2025-05-26T18:43:10+00:00,text,语言大师,
900169,2025-05-26T18:43:05+00:00,text,又有狗又有叫，还mu,
900168,2025-05-26T18:43:00+00:00,text,/btc,
900167,2025-05-26T18:42:55+00:00,text,叫 mu bark,
900166,2025-05-26T18:42:50+00:00,text,以后创立于一个基金就叫mu（barak）狗基金,
900165,2025-05-26T18:42:45+00:00,text,算了，小币流动性低，不论多空感觉都没我的事情,
900164,2025-05-26T18:42:40+00:00,text,头顶一块布天下我最富,
900163,2025-05-26T18:42:35+00:00,text,/mubarak,
